idiom,example,correct_substitution,explanation_correct,incorrect_substitution,explanation_incorrect
all bets are off,"In that case, they say, all bets are off for co-operation on the budget next year.","In that case, they say, all previous expectations are void for co-operation on the budget next year.",All bets are off means prior assumptions no longer hold because circumstances have changed.,"In that case, they say, all previous expectations hold firm for co-operation on the budget next year.","All bets are off means expectations no longer apply, but the sentence keeps them in force."
all hell broke loose,A sparrow hawk appeared — and all hell broke loose!,A sparrow hawk appeared — and sudden chaos erupted!,"All hell broke loose means that sudden uproar and chaos began, which is what the hawk's arrival caused.",A sparrow hawk appeared — and a deep calm settled over everything!,"All hell broke loose means sudden chaos erupted, but the sentence describes everything becoming peaceful."
all in a day's work,Tod also played it cool: all in a day's work.,Tod also played it cool: an entirely ordinary part of the job.,"All in a day's work means something is a routine part of one's normal duties, so Tod treated it as unremarkable.",Tod also played it cool: an extraordinary feat far beyond anything expected of him.,"All in a day's work means something is routine, but the sentence presents it as an exceptional achievement."
all over bar the shouting,Swindon probably felt it was all over bar the shouting.,Swindon probably felt the outcome was already effectively decided.,"All over bar the shouting means the result is settled even though it isn't formally finished, which is what Swindon assumed.",Swindon probably felt the outcome was still completely open.,"All over bar the shouting means the result is effectively settled, but the sentence describes the outcome as undecided."
all over the place,"Like all children, his mind jumps all over the place.","Like all children, his mind jumps from one thing to another without order.","All over the place means disorganised and scattered, describing how his thoughts move erratically.","Like all children, his mind jumps in a careful and orderly sequence.","All over the place means scattered and disorganised, but the sentence describes orderly, methodical movement."
all over the shop,"With skating there's no-one saying do this, do that all over the shop.","With skating there's no-one saying do this, do that in a disorganised way.","All over the shop means done in a chaotic, disorganised manner, describing the absence of scattered instructions.","With skating there's no-one saying do this, do that in a strictly methodical way.","All over the shop means chaotic and disorganised, but the sentence describes rigid orderliness."
all the rage,"Well that used to be all the rage once, didn't it?","Well that used to be extremely fashionable once, didn't it?","All the rage means being very popular or fashionable for a period, describing its former standing.","Well that used to be widely ignored once, didn't it?","All the rage means being very popular, but the sentence describes it attracting no interest."
all things being equal,"All other things being equal, the most direct route is the best.","Assuming no other factors differ, the most direct route is the best.","All things being equal means setting aside any other differences, which is the condition under which the direct route wins.","Given how sharply the other factors differ, the most direct route is the best.","All things being equal assumes other factors are held constant, but the sentence emphasises that they vary widely."
and then some,"To begin with, you'll find food from the world's four corners and then some.","To begin with, you'll find food from the world's four corners and considerably more besides.","And then some means even more than what was just stated, adding to the range of food described.","To begin with, you'll find food from the world's four corners, and that is the full extent of it.","And then some means there is more beyond what was stated, but the sentence presents the list as complete."
anyone's guess,What really happened is anyone's guess but afterwards each accused the other of cheating.,What really happened is impossible for anyone to know for certain but afterwards each accused the other of cheating.,"Anyone's guess means that nobody knows the answer, so the true events remain uncertain.",What really happened is a matter of established record but afterwards each accused the other of cheating.,"Anyone's guess means nobody knows the answer, but the sentence presents the events as firmly documented."
anything goes,"Anything going on in the outdoors which interests, irritates or simply makes you laugh?","Anything happening in the outdoors which interests, irritates or simply makes you laugh?","Here the phrase is used literally to mean any occurrence, matching the sense of things happening outdoors.","Only strictly permitted activities in the outdoors which interest, irritate or simply make you laugh?","Anything goes means that no restrictions apply, but the sentence describes a tightly limited set of activities."
argue the toss,You're arguing the toss over the small print as to whether or not it's covered.,You're disputing at tedious length over the small print as to whether or not it's covered.,"To argue the toss means to dispute a decision at wearying length, describing the quarrel over the small print.",You're accepting without complaint the small print as to whether or not it's covered.,"To argue the toss means disputing something at length, but the sentence describes ready acceptance."
armed to the teeth,"Around the campfire crouched three red-bearded highlanders, clad in musty tartan and armed to the teeth.","Around the campfire crouched three red-bearded highlanders, clad in musty tartan and carrying every possible weapon.","Armed to the teeth means heavily and completely armed, describing the highlanders.","Around the campfire crouched three red-bearded highlanders, clad in musty tartan and carrying no weapons at all.","The idiom means heavily armed, but the sentence describes them unarmed."
around the clock,Harriers take off around the clock from hastily constructed hides.,Harriers take off at all hours of the day and night from hastily constructed hides.,"Around the clock means continuously through the entire day and night, describing the constant departures.",Harriers take off during a brief window each morning from hastily constructed hides.,"Around the clock means continuously day and night, but the sentence confines the departures to a short daily period."
as a rule,"He didn't as a rule greet all his guests, but this was different.","He didn't usually greet all his guests, but this was different.","As a rule means usually or in most cases, so greeting every guest was outside his normal habit.","He didn't on that one isolated occasion greet all his guests, but this was different.","As a rule describes what is generally true over time, but the sentence refers only to a single occasion."
as good as new,"Then they magically reappear, leaving your T-shirt looking as good as new!","Then they magically reappear, leaving your T-shirt looking completely restored to its original condition!","As good as new means restored to original condition, describing the T-shirt's appearance afterwards.","Then they magically reappear, leaving your T-shirt looking worn and badly faded!","As good as new means restored to original condition, but the sentence describes the shirt looking damaged."
as luck would have it,As luck would have it a fellow pupil in Diana's dormitory complained that she had appendicitis.,By fortunate coincidence a fellow pupil in Diana's dormitory complained that she had appendicitis.,"As luck would have it means something happened by chance in a fortunate way, introducing the coincidence.",According to a carefully arranged plan a fellow pupil in Diana's dormitory complained that she had appendicitis.,"As luck would have it means an event occurred by chance, but the sentence presents it as deliberately organised."
ask for the moon,"She could have asked for the moon, and seen the clansmen climb on each other's shoulders to reach it down for her.","She could have demanded the impossible, and seen the clansmen climb on each other's shoulders to reach it down for her.","To ask for the moon means to request something unattainable, which the clansmen would still attempt.","She could have demanded the entirely trivial, and seen the clansmen climb on each other's shoulders to reach it down for her.","The idiom means requesting the impossible, but the sentence makes it trivial, which removes the point of the effort."
asleep at the wheel,I reckon the teacher fell asleep at the wheel.,I reckon the teacher failed to pay attention when it mattered.,"Asleep at the wheel means neglecting a duty through inattention, the accusation against the teacher.",I reckon the teacher watched with total vigilance when it mattered.,"The idiom means being inattentive, but the sentence describes close attention."
at a loose end,"'At a loose end, Deveraugh?' she queried disdainfully as he followed her out of the tent.","'With nothing to occupy you, Deveraugh?' she queried disdainfully as he followed her out of the tent.","At a loose end means having nothing particular to do, which is what she is accusing him of.","'Busy with pressing matters, Deveraugh?' she queried disdainfully as he followed her out of the tent.","At a loose end means having nothing to do, but the sentence describes him being fully occupied."
at a loss for words,"One is at a total loss for words to express adequately how one really feels inside, you know.","One is completely unable to find the words to express adequately how one really feels inside, you know.","At a loss for words means being unable to find anything to say, describing the difficulty of expressing the feeling.","One is richly supplied with words to express adequately how one really feels inside, you know.","At a loss for words means being unable to find anything to say, but the sentence describes having ample words available."
at a pinch,At a pinch the spacers can be substituted for four appropriately sized nuts.,If absolutely necessary the spacers can be substituted for four appropriately sized nuts.,"At a pinch means if it becomes necessary in difficult circumstances, presenting the substitution as a fallback.",As the ideal first choice the spacers can be substituted for four appropriately sized nuts.,"At a pinch means something done only when necessary, but the sentence presents it as the preferred option."
at a snail's pace,It was ten minutes before she returned at a snail's pace with four rum punches.,It was ten minutes before she returned extremely slowly with four rum punches.,"At a snail's pace means moving very slowly, which explains why she took ten minutes.",It was ten minutes before she returned at a brisk run with four rum punches.,"At a snail's pace means moving very slowly, but the sentence describes her hurrying."
at a stretch,He was used to paddling it for miles at a stretch.,He was used to paddling it for miles without a break.,"At a stretch means continuously without interruption, describing how far he would paddle in one go.",He was used to paddling it for miles with frequent long rests.,"At a stretch means continuously without interruption, but the sentence describes regular breaks."
at cross purposes,I wouldn't want us to find ourselves talking at cross-purposes.,I wouldn't want us to find ourselves misunderstanding each other's intentions.,"At cross purposes means two people are unknowingly working towards different aims, causing misunderstanding.",I wouldn't want us to find ourselves in perfect mutual understanding.,"At cross purposes means misunderstanding one another, but the sentence describes complete agreement."
at daggers drawn,The prospect of an interesting friendship had been destroyed and now they were at daggers drawn.,The prospect of an interesting friendship had been destroyed and now they were bitterly hostile to each other.,"At daggers drawn means being in a state of open hostility, which follows from the friendship being destroyed.",The prospect of an interesting friendship had been destroyed and now they were warmly affectionate with each other.,"At daggers drawn means open hostility, but the sentence describes warmth and affection between them."
at death's door,"She was a cantankerous woman, but she was literally at death's door.","She was a cantankerous woman, but she was literally close to dying.","At death's door means being very near death, describing the seriousness of her condition.","She was a cantankerous woman, but she was literally in robust health.","At death's door means being near death, but the sentence describes her being perfectly healthy."
at sea,The tour may have lost an offshore event but financially it is far from being at sea.,The tour may have lost an offshore event but financially it is far from being confused and directionless.,"At sea means being bewildered and without direction, a state the tour's finances are said to be far from.",The tour may have lost an offshore event but financially it is far from being firmly in control.,"At sea means being bewildered and adrift, but the sentence substitutes confident control, reversing the claim being made."
at the crossroads,NEW YORK – The world is at a crossroads.,NEW YORK – The world is at a decisive turning point.,"At a crossroads means being at a point where an important choice must be made, describing the world's situation.",NEW YORK – The world is on a settled and unchanging course.,"At a crossroads means facing a decisive choice, but the sentence describes a fixed path with no decision to make."
at the drop of a hat,He'll give hundreds away at the drop of a hat.,He'll give hundreds away without the slightest hesitation.,"At the drop of a hat means immediately and without hesitation, describing how readily he gives money away.",He'll give hundreds away only after long and careful deliberation.,"At the drop of a hat means acting immediately, but the sentence describes a slow, considered decision."
bark up the wrong tree,Could he once again be barking up the wrong tree?,Could he once again be pursuing a completely mistaken line of enquiry?,"To bark up the wrong tree means to pursue a mistaken course, questioning whether his approach is wrong again.",Could he once again be pursuing exactly the right line of enquiry?,"To bark up the wrong tree means pursuing a mistaken course, but the sentence describes him being correct."
basket case,"A CONSPICUOUS basket-case in a region of economic miracles, the Philippines offers investors a strange paradox.","A CONSPICUOUS hopeless failure in a region of economic miracles, the Philippines offers investors a strange paradox.","A basket case is something in a hopeless, dysfunctional state, contrasting the Philippines with its thriving neighbours.","A CONSPICUOUS outstanding success in a region of economic miracles, the Philippines offers investors a strange paradox.","A basket case is something in a hopeless state, but the sentence describes success, which also removes the contrast the sentence sets up."
beat swords into ploughshares,"The ancestral organs did not literally change themselves into the descendant organs, like swords being beaten into ploughshares.","The ancestral organs did not literally change themselves into the descendant organs, like weapons being converted to peaceful tools.",To beat swords into ploughshares means to convert instruments of war into instruments of peace.,"The ancestral organs did not literally change themselves into the descendant organs, like peaceful tools being converted to weapons.","The idiom means converting weapons into tools, but the sentence reverses the direction."
beg the question,"As far as the humanity / animality issue is concerned, this begs the question.","As far as the humanity / animality issue is concerned, this assumes the very point at issue.","To beg the question means to take for granted the thing that needs proving, which is the flaw identified.","As far as the humanity / animality issue is concerned, this settles the matter conclusively.","To beg the question means assuming what needs to be proved, but the sentence claims the matter is resolved."
behind bars,"A STARK, uncertain future awaits the convicted paramilitary enemies who became lovers by letter behind bars.","A STARK, uncertain future awaits the convicted paramilitary enemies who became lovers by letter while in prison.","Behind bars means in prison, which fits the description of convicted prisoners corresponding by letter.","A STARK, uncertain future awaits the convicted paramilitary enemies who became lovers by letter while living freely at home.","Behind bars means being in prison, but the sentence places them at liberty, which conflicts with their conviction."
behind closed doors,"Another has been put forward behind closed doors by AXA, France's second-biggest insurance company.","Another has been put forward in private by AXA, France's second-biggest insurance company.","Behind closed doors means done privately and out of public view, describing how the proposal was made.","Another has been put forward at a well-publicised open meeting by AXA, France's second-biggest insurance company.","Behind closed doors means done in private, but the sentence describes a public and widely reported event."
behind someone's back,How would you feel if someone said that about you behind your back?,How would you feel if someone said that about you without your knowledge?,"Behind someone's back means doing something secretly without them knowing, describing the hurtful remark.",How would you feel if someone said that about you directly to your face?,"Behind someone's back means saying something secretly, but the sentence describes an open confrontation."
behind the curve,"Politicians, in contrast, are failing Europe by being forever behind the curve.","Politicians, in contrast, are failing Europe by being forever slower than events require.","Behind the curve means lagging behind developments, the failure attributed to politicians.","Politicians, in contrast, are failing Europe by being forever ahead of what events require.","Behind the curve means lagging behind, but the sentence describes anticipating events."
behind the scenes,"Outwardly it's as wealthy as ever, but behind the scenes the reality for some can be very different.","Outwardly it's as wealthy as ever, but out of public view the reality for some can be very different.","Behind the scenes means what happens privately rather than in public, which is the contrast the sentence draws.","Outwardly it's as wealthy as ever, but in full public view the reality for some can be very different.","Behind the scenes means hidden from public view, but the sentence places the reality on open display, collapsing the contrast."
bells and whistles,"It has all of the facilities you need, and a few nice bells and whistles thrown in.","It has all of the facilities you need, and a few nice non-essential extras thrown in.","Bells and whistles are attractive but non-essential features, added beyond the necessities.","It has all of the facilities you need, and a few nice absolute necessities thrown in.","Bells and whistles are non-essential extras, but the sentence calls them essential, contradicting the contrast with the facilities you need."
below par,But performances have been consistently below par for too long and drastic action needs to be taken.,But performances have been consistently worse than the expected standard for too long and drastic action needs to be taken.,"Below par means falling short of the usual or expected standard, which is why drastic action is called for.",But performances have been consistently better than the expected standard for too long and drastic action needs to be taken.,"Below par means falling short of the expected standard, but the sentence describes exceeding it, which would not call for drastic action."
below the belt,"Whichever camp you are in, the same celestial advice will apply — hit below the belt.","Whichever camp you are in, the same celestial advice will apply — fight unfairly.","To hit below the belt means to attack in an unfair or dishonourable way, which is the advice being given.","Whichever camp you are in, the same celestial advice will apply — fight with scrupulous fairness.","To hit below the belt means fighting unfairly, but the sentence advises strict fairness instead."
belt and braces,"It was sealed with Sellotape and staples, a real belt and braces job.","It was sealed with Sellotape and staples, a real doubly-secured job.","Belt and braces means using two safeguards where one would do, matching the use of both tape and staples.","It was sealed with Sellotape and staples, a real bare-minimum job.","Belt and braces means taking more precautions than strictly necessary, but the sentence describes doing the least possible."
bend someone's ear,She regularly bent Minton's ear with her problems and he in turn did take-offs of her doing this.,She regularly talked at length to Minton about her problems and he in turn did take-offs of her doing this.,"To bend someone's ear means to talk to them at tedious length, which explains the mockery.",She regularly said nothing at all to Minton about her problems and he in turn did take-offs of her doing this.,"The idiom means talking at length, but the sentence describes silence, which would leave nothing to imitate."
beside yourself,"You are beside yourself! he uttered, stepping involuntarily backwards.","You are overwhelmed past all self-control! he uttered, stepping involuntarily backwards.",Beside yourself means being so overcome by emotion that you lose composure.,"You are entirely calm and collected! he uttered, stepping involuntarily backwards.","The idiom means losing composure, but the sentence describes calm, which the backward step contradicts."
between a rock and a hard place,She was caught between a rock and a hard place — with no obvious way out.,She was caught between two equally bad options — with no obvious way out.,"Between a rock and a hard place means facing a choice between two undesirable options, which explains why there was no way out.",She was caught between two equally appealing options — with no obvious way out.,"Between a rock and a hard place means being stuck between two bad choices, but the sentence describes both options as attractive."
big hitter,The big hitters were content to wait until 1996.,The most influential players were content to wait until 1996.,A big hitter means a person or organisation of major influence.,The most insignificant players were content to wait until 1996.,"A big hitter means someone influential, but the sentence describes minor figures."
birds of a feather,"She's told them what to do, birds of a feather.","She's told them what to do, people of exactly the same type.","Birds of a feather refers to people who are alike and naturally group together, characterising her and the others.","She's told them what to do, people of utterly opposite character.","Birds of a feather refers to people who resemble one another, but the sentence describes them as completely dissimilar."
bite off more than you can chew,There's always the danger of biting off more than you can chew.,There's always the danger of taking on more than you can manage.,"To bite off more than you can chew means to undertake more than you are able to handle, which is the danger described.",There's always the danger of taking on far less than you could easily manage.,"To bite off more than you can chew means taking on too much, but the sentence describes taking on too little."
bite someone's head off,Not two minutes in his company and she was biting his head off.,Not two minutes in his company and she was snapping at him angrily.,"To bite someone's head off means to respond with sudden sharp anger, describing how quickly she turned on him.",Not two minutes in his company and she was speaking to him with gentle patience.,"To bite someone's head off means responding with sharp anger, but the sentence describes a calm and gentle manner."
bite the bullet,"Shouldn't we bite the bullet now and legislate, as many are suggesting?","Shouldn't we face the unpleasant task now and legislate, as many are suggesting?","To bite the bullet means to force yourself to do something difficult you have been avoiding, which legislating would mean.","Shouldn't we keep postponing the unpleasant task and legislate, as many are suggesting?","To bite the bullet means facing a difficult task head on, but the sentence describes continued delay."
bite your tongue,You're not meant to bite your tongue like that.,You're not meant to hold back what you want to say like that.,"To bite your tongue means to stop yourself from speaking, which is the behaviour being commented on.",You're not meant to blurt out everything you think like that.,"To bite your tongue means staying silent, but the sentence describes speaking freely."
bits and bobs,"No it's not full, it was just bits and bobs.","No it's not full, it was just assorted small odds and ends.","Bits and bobs means a miscellaneous assortment of small items, explaining why the container was not full.","No it's not full, it was just a few large bulky items.","Bits and bobs means small miscellaneous items, but the sentence describes large bulky objects."
black and blue,When Clark took off his shirt he had black-and-blue bruises over his shoulders and arm.,When Clark took off his shirt he had severely discoloured bruises over his shoulders and arm.,"Black and blue describes skin badly bruised and discoloured, matching the marks on his shoulders.",When Clark took off his shirt he had faint and barely visible bruises over his shoulders and arm.,"Black and blue means severely bruised, but the sentence describes marks that are hardly noticeable."
blaze a trail,Elise had blazed a talented trail to an art college four years before Merrill took up secretarial training.,Elise had been the first to make a talented path to an art college four years before Merrill took up secretarial training.,"To blaze a trail means to be the first to do something, opening the way for others, which is Elise's role here.",Elise had followed a well-worn talented path to an art college four years before Merrill took up secretarial training.,"To blaze a trail means being first, but the sentence describes following a route others had already established."
blood and guts,GIANT-KILLERS Yeovil became the most successful non-League club in FA Cup history in this blood and guts seven-goal thriller.,GIANT-KILLERS Yeovil became the most successful non-League club in FA Cup history in this fiercely committed seven-goal thriller.,"Blood and guts describes a contest fought with raw determination, matching a seven-goal thriller.",GIANT-KILLERS Yeovil became the most successful non-League club in FA Cup history in this tame and bloodless seven-goal thriller.,"Blood and guts means fierce commitment, but the sentence describes a lifeless match, which no thriller would be."
blood and thunder,"Meredith told him twice to give it a bit more blood and thunder, but it wasn't in him.","Meredith told him twice to give it a bit more dramatic force, but it wasn't in him.","Blood and thunder means violent, melodramatic energy in a performance, which Meredith wanted more of.","Meredith told him twice to give it a bit more quiet restraint, but it wasn't in him.","Blood and thunder means loud dramatic energy, but the sentence asks for subdued delivery instead."
blood is thicker than water,"'Blood is thicker than water,' he had replied.","'Family loyalty outweighs all other bonds,' he had replied.","Blood is thicker than water means family ties matter more than other relationships, which is the point he is making.","'Friendship matters far more than any family tie,' he had replied.","Blood is thicker than water means family bonds take priority, but the sentence ranks friendship above family."
blow a gasket,'I blew every gasket in my head!' he admitted deeply.,'I lost my temper completely!' he admitted deeply.,"To blow a gasket means to lose one's temper violently, which is what he is admitting to.",'I stayed perfectly composed throughout!' he admitted deeply.,"To blow a gasket means losing your temper, but the sentence describes remaining calm."
blow hot and cold,"Yes, so sometimes it has a tendency to seem like you're blowing hot and cold.","Yes, so sometimes it has a tendency to seem like you're constantly changing your attitude.","To blow hot and cold means to alternate between enthusiasm and indifference, which is how the behaviour appears.","Yes, so sometimes it has a tendency to seem like you're holding a perfectly steady attitude.","To blow hot and cold means alternating unpredictably, but the sentence describes unwavering consistency."
blow someone's cover,"If this has blown my cover, you may not hear from me again.","If this has exposed my secret identity, you may not hear from me again.","To blow someone's cover means to reveal their concealed identity, which would explain the danger he faces.","If this has further concealed my secret identity, you may not hear from me again.","To blow someone's cover means revealing a hidden identity, but the sentence describes it being hidden more deeply."
blow someone's mind,"Even the pop posters were old, they blew my mind with boredom.","Even the pop posters were old, they overwhelmed me with boredom.","To blow someone's mind means to overwhelm or astonish them, here applied ironically to boredom.","Even the pop posters were old, they left me entirely unaffected by boredom.","To blow someone's mind means overwhelming them, but the sentence describes having no effect at all."
bob's your uncle,"You can say: the sea was like blue glass, the sand like fine powder, and Bob's your uncle.","You can say: the sea was like blue glass, the sand like fine powder, and there you have it.",Bob's your uncle marks a result achieved simply and without further effort.,"You can say: the sea was like blue glass, the sand like fine powder, and much hard work remains.","The phrase signals easy completion, but the sentence describes unfinished labour."
body blow,The use of her own words against her was a body blow and she looked away.,The use of her own words against her was a devastating setback and she looked away.,"A body blow is a severe shock or setback, describing the effect of hearing her own words turned against her.",The use of her own words against her was a minor irritation and she looked away.,"A body blow is a severe blow, but the sentence reduces it to a trivial annoyance."
born and bred,"He had been born and bred on the river, but had never seen anything like it before.","He had been born and raised entirely on the river, but had never seen anything like it before.","Born and bred means born and brought up in a particular place, describing his lifelong connection to the river.","He had been a recent arrival to the river, but had never seen anything like it before.","Born and bred means having lived somewhere since birth, but the sentence describes him as a newcomer."
bow and scrape,"Come, come, my lords! he murmured, bowing and scraping before us.","Come, come, my lords! he murmured, behaving with excessive deference before us.","To bow and scrape means to show exaggerated, servile politeness.","Come, come, my lords! he murmured, behaving with open contempt before us.","The idiom means excessive deference, but the sentence describes disrespect."
boys in blue,I can tell you the boys in blue are pleased you've turned up.,I can tell you the police are pleased you've turned up.,"The boys in blue is an informal term for the police, referring to those glad of his arrival.",I can tell you the local shopkeepers are pleased you've turned up.,"The boys in blue refers to the police, but the sentence substitutes an unrelated group."
boys will be boys,"That, and a few water spouts, but then boys will be boys.","That, and a few water spouts, but then boisterous behaviour is only to be expected of them.",Boys will be boys excuses rowdy behaviour as natural and unsurprising.,"That, and a few water spouts, but then such behaviour is utterly unheard of from them.","The phrase treats the behaviour as expected, but the sentence calls it unprecedented."
brass neck,That certainly qualifies him for a prize for brass neck.,That certainly qualifies him for a prize for shameless nerve.,"Brass neck means bold, shameless cheek, which is what he is being sarcastically credited with.",That certainly qualifies him for a prize for timid modesty.,"Brass neck means shameless boldness, but the sentence describes shyness and restraint."
bread and circuses,So with football and politics as the bread and circuses of our decadent empire — whither religion?,So with football and politics as the cheap distractions of our decadent empire — whither religion?,Bread and circuses refers to superficial entertainment used to keep a population content and unquestioning.,So with football and politics as the demanding civic duties of our decadent empire — whither religion?,"Bread and circuses means shallow distraction, but the sentence describes serious obligations instead."
break cover,Nobody was looking at the thicket at the moment the wounded cow broke cover.,Nobody was looking at the thicket at the moment the wounded cow emerged from hiding.,"To break cover means to leave a place of concealment, which is what the cow did at that moment.",Nobody was looking at the thicket at the moment the wounded cow settled deeper into hiding.,"To break cover means coming out of hiding, but the sentence describes the cow concealing itself further."
break even,Any gang member who regularly fails to break even or achieve a surplus would be laid off.,Any gang member who regularly fails to cover his costs exactly or achieve a surplus would be laid off.,"To break even means to take in exactly as much as was spent, with neither profit nor loss, the minimum standard here.",Any gang member who regularly fails to make a large profit or achieve a surplus would be laid off.,"To break even means merely covering costs, but the sentence raises the bar to substantial profit, making the mention of a surplus redundant."
break new ground,"Although overdue, two elements of the bill can properly claim to be breaking new ground.","Although overdue, two elements of the bill can properly claim to be doing something entirely unprecedented.","To break new ground means to do something never done before, which is the claim made for the bill.","Although overdue, two elements of the bill can properly claim to be repeating well-established practice.","To break new ground means doing something unprecedented, but the sentence describes familiar practice being repeated."
break ranks,Some officers broke ranks and were met with a volley of stones.,Some officers abandoned the agreed formation and were met with a volley of stones.,"To break ranks means to leave the ordered line or depart from a group's agreed position, which is what the officers did.",Some officers held the agreed formation tightly and were met with a volley of stones.,"To break ranks means departing from the group's formation, but the sentence describes the officers maintaining it."
break someone's heart,For this surely would have broken his heart — he loved us so much.,For this surely would have caused him overwhelming grief — he loved us so much.,"To break someone's heart means to cause them deep emotional pain, which follows from how much he loved them.",For this surely would have left him entirely unmoved — he loved us so much.,"To break someone's heart means causing deep grief, but the sentence describes indifference, which sits oddly with his love."
break the back of,"Pouring over its latest simulation runs, Sun is confident it has broken the back of the technical problem.","Pouring over its latest simulation runs, Sun is confident it has overcome the hardest part of the technical problem.","To break the back of something means to complete its most difficult portion, which is Sun's claim.","Pouring over its latest simulation runs, Sun is confident it has barely started on the technical problem.","To break the back of something means finishing the hardest part, but the sentence describes hardly having begun, conflicting with the confidence expressed."
break the ice,He doesn't have to break any ice because they're all pals.,He doesn't have to ease any initial awkwardness because they're all pals.,"To break the ice means to relieve the awkwardness of a first meeting, which is unnecessary among friends.",He doesn't have to deepen the existing awkwardness because they're all pals.,"To break the ice means relieving awkwardness, but the sentence describes making it worse."
breathe down someone's neck,As they rounded the last corner the leaders had the main field breathing down their necks.,As they rounded the last corner the leaders had the main field pressing closely behind them.,"To breathe down someone's neck means to follow uncomfortably close behind, describing the field's position at the corner.",As they rounded the last corner the leaders had the main field trailing far out of sight behind them.,"To breathe down someone's neck means following very close behind, but the sentence places the field a long way back."
