task,input,target
generation,Meaning: [IDIOM] means reopening an argument that was already settled. Scenario: Alex raised the choice of rating system again two weeks after the group had already decided.,"There is no target, this is purely for evaluation. (Alex)"
generation,Meaning: [IDIOM] means talking at length without ever arriving at a point. Scenario: The keynote ran a full hour and afterwards nobody could say what the lecture had been had been about.,"There is no target, this is purely for evaluation. (Alex)"
generation,Meaning: [IDIOM] means giving advice you have never once followed yourself. Scenario: Alex lectured the group on committing early and often while sitting on three weeks of unpushed work.,"There is no target, this is purely for evaluation. (Alex)"
generation,Meaning: [IDIOM] means using elaborate language to disguise having nothing to say. Scenario: The related work section ran to four pages and never once said how this paper differed.,"There is no target, this is purely for evaluation. (Alex)"
generation,Meaning: [IDIOM] means apologising in a way that moves the blame onto the other person. Scenario: Marcus apologised that Alex had taken the merge conflict so personally.,"There is no target, this is purely for evaluation. (Alex)"
generation,Meaning: [IDIOM] means trusting someone who has already failed you repeatedly. Scenario: Jonathan relied on the same undocumented library for a fourth project and was surprised when it broke.,"There is no target, this is purely for evaluation. (Alex)"
generation,Meaning: [IDIOM] means noticing a trivial flaw while missing an enormous one. Scenario: The reviewer complained about the font in Figure 2 and said nothing about the leaked test set.,"There is no target, this is purely for evaluation. (Alex)"
generation,"Meaning: [IDIOM] means being right about something for entirely the wrong reasons. Scenario: Marcus predicted the model would fail on the rare classes, but only because he had misread the confusion matrix.","There is no target, this is purely for evaluation. (Alex)"
generation,"Meaning: [IDIOM] means changing your position and insisting you always held the new one. Scenario: Once the results came in, Alex maintained he had doubted that baseline from the very start.","There is no target, this is purely for evaluation. (Alex)"
generation,Meaning: [IDIOM] means being so cautious that you cause the very harm you were avoiding. Scenario: So many regularisation terms were added to prevent overfitting that the model could no longer learn anything.,"There is no target, this is purely for evaluation. (Alex)"
generation,Meaning: [IDIOM] means leaving something until the last possible moment and succeeding anyway. Scenario: Jonathan submitted the abstract four minutes before the deadline and it was accepted.,"There is no target, this is purely for evaluation. (Alex)"
generation,Meaning: [IDIOM] means acting with great urgency on something that required none. Scenario: Marcus rewrote the entire evaluation script overnight for a check-in that was three weeks away.,"There is no target, this is purely for evaluation. (Alex)"
generation,Meaning: [IDIOM] means spending money to avoid admitting an earlier purchase was a mistake. Scenario: The team bought more API credits rather than concede the first prompt design had been wrong.,"There is no target, this is purely for evaluation. (Alex)"
generation,Meaning: [IDIOM] means enjoying another person's difficulty while appearing sympathetic. Scenario: Alex's sympathy about the failed training run came with a barely hidden smile.,"There is no target, this is purely for evaluation. (Alex)"
generation,Meaning: [IDIOM] means learning something thoroughly and never once using it. Scenario: Marcus memorized the whole documentation for a framework the group abandoned the following week.,"There is no target, this is purely for evaluation. (Alex)"
generation,Meaning: [IDIOM] means discovering the hard part was not the part you prepared for. Scenario: Jonathan spent weeks tuning the classifier and the real difficulty turned out to be cleaning the corpus.,"There is no target, this is purely for evaluation. (Alex)"
