idiom,example,correct_substitution,explanation_correct,incorrect_substitution,explanation_incorrect
go begging,I didn't bother suggesting that we allow laoghaire to put in for a gaberlunzie badge and go begging through the parish.,I didn't bother suggesting that we allow laoghaire to put in for a gaberlunzie badge and to be available for one to take or claim through the parish.,"To go begging means to be available for one to take or claim, and in this sentence it is suggesting that laoghaire be available to take or claim a gaberlunzie badge.",I didn't bother suggesting that we allow laoghaire to put in for a gaberlunzie badge and not be available for one to take or claim through the parish.,"To go begging means to be available for one to take or claim, but in this sentence it is suggesting that laoghaire not be available to take or claim a gaberlunzie badge."
call in sick,I'm going to call in sick tomorrow.,I'm going to tell my boss that I'm ill and won't be able to come in tomorrow.,"To call in sick means to inform one's employer that one will be absent due to illness, which is what the speaker is going to do.",I'm going to tell my boss that I'm feeling great and will be able to come in tomorrow.,"To call in sick means to inform one's employer that one will be absent due to illness, but the speaker is going to tell their boss they are feeling great"
broad in the beam,l am getting a little broad in the beam .,My hips and buttocks are quite wide.,"To be broad in the beam means to have wide hips or large buttocks, which is what the sentence is saying.",My hips and buttocks are quite narrow.,"To be broad in the beam means to have wide hips or large buttocks, but in this sentence the person has quite narrow hips and buttocks."
do yourself a favor,do yourself a favor and fall in love with just one boy.,Help yourself out by falling in love with just one boy.,"Doing something that helps or betters oneself is what it means to do oneself a favor, and in this sentence falling in love with just one boy is something that would help the speaker out.",Hinder yourself by falling in love with just one boy.,"Doing something that helps or betters oneself is what it means to do oneself a favor, but in this sentence falling in love with just one boy is something that would hinder the speaker."
curry favour,He went to any length to curry favour with his superiors and the most sadistic cliques were hard pressed to match his exploits.,He went to any lengths and did anything to make himself liked by his superiors and the most sadistic cliques were hard pressed to match his exploits.,"To curry favour with someone means to try to make them like you, so going to any lengths to make his superiors like him makes sense.",He went to no lengths and did nothing to make himself liked by his superiors and the most sadistic cliques were hard pressed to match his exploits.,"To curry favour with someone means to try to make them like you, but in this sentence he did nothing to make them like him"
be left holding the baby,The media will pass the buck to them and they will be left holding the baby.,The media will make them responsible for the problem and they will have to deal with the negative consequences.,"To be left holding the baby means to be made responsible for a problem that nobody else wants to deal with, and in this sentence the media is making them responsible for the problem.",The media will make them responsible for the problem and they will not have to deal with any negative consequences.,"To be left holding the baby means to be made responsible for a problem that nobody else wants to deal with, but the sentence states that they will not have to deal with any negative consequences"
let alone,Shaun and mike had not even looked at each other let alone talk to one another during dinner.,Shaun and Mike had not even looked at each other not to mention talk to one another during dinner.,"The phrase let alone is used to emphasize that if other more significant or pressing things are not possible, a lesser thing certainly is not or cannot either which is exemplified in this context where Shaun and Mike won't even look at the each other hence speaking during dinner was out of question.",Shaun and Mike had not eveb looked at each other but also talked to one another during dinner.,"The phrase let alone is used to emphasize that if other more significant or pressing things are not possible, a lesser thing certainly is not or cannot either which is contradicted in this context where Shaun and Mike won't even look at the each other but were speaking to each other during dinner."
jaw drop,My jaw dropped and I hit his shoulder playfully.,I was so shocked that my mouth literally opened wide in surprise and I hit his shoulder playfully.,To have one's jaw drop is to be so shocked that one's mouth literally opens wide in surprise which is what happened to the speaker before they hit someone else's shoulder playfully.,I was not at all surprised hitting his shoulder playfully.,"To have one's jaw drop is to be so shocked that one's mouth literally opens wide in surprise, but this context describes being not at all shocked and playfully hitting someone's shoulder."
small beer,English earls were small beer by comparison to the margraves.,English earls were very unimportant and trivial when compared to the margraves.,"To be small beer means to be unimportant and trivial, and in this context English earls are unimportant when compared to margraves.",English earls were the most important people when compared to the margraves.,"To be small beer means to be unimportant and trivial, but in this context English earls are actually the most important people when compared to margraves."
leave it at that,Let's just leave it at that.,Let's just stop here and not continue any further.,"To leave it at that means to take no further action, so in this context they are suggesting to stop and not continue.",Let's just keep going and not stop here.,"To leave it at that means to take no further action, but in this context they are suggesting to keep going and not stop."
laugh like a drain,She was truly a member of the old school who would laugh like a drain at the goings on of friends.,She was a true member of the old school who would laugh uproariously and heartily at the goings on of friends.,"To laugh like a drain means to laugh in a very loud and boisterous manner, which is what she would do at the goings on of her friends.",She was a true member of the old school who would not laugh at all at the goings on of friends.,"To laugh like a drain means to laugh in a very loud and boisterous manner, but the context describes her not laughing at all"
let bygones be bygones,"Can we let bygones be bygones, then?","Can we stop focusing on something that happened in the past, then?","To let bygones be bygones is to stop focusing on something that happened in the past, which is what the speaker is suggesting.","Can we continue to focus on something that happened in the past, then?.","To let bygones be bygones is to stop focusing on something that happened in the past, but the speaker is suggesting the opposite by saying to continue focusing on it."
let sleeping dogs lie,Janet: why can't you let sleeping dogs lie?,Janet: why can't you avoid disturbing or interfering with the situation?,"To let sleeping dogs lie means to leave a situation alone so as to avoid worsening it, which is what Janet is asking in the context.",Janet: why can't you interfere and try to make things better for the situation?.,"To let sleeping dogs lie means to leave a situation alone so as to avoid worsening it, but the context asks why can't you try to make things better"
search high and low,That future historian will search high and low for a proper and accurate source.,That future historian will look intently in many different places for a proper and accurate source.,"To search high and low means to look intently for something in many different places, which is what the future historian is doing.",That future historian will not look at all for a proper and accurate source.,"To search high and low means to look intently for something in many different places, but the future historian is not looking at all in this context, thus it is a contradiction."
for a song,I 'll get you the goya for a song. ',I'll get you the goya for an extremely cheap price.,To get something for a song means to get it for a very low price.,I'll get you the goya for a very expensive price.,"To get something for a song means to get it for a very low price, but in this sentence it would be for a very high price."
siren song,He was enraptured by the siren song of her demand.,He was captivated by the seductive and enticing appeal of her demand.,"To be enraptured by the siren song of something means to be seduced by it's appeal, which is what happened in this context.",He was repulsed by the seductive and enticing appeal of her demand.,"The siren song is something that is seductive and appealing, but it here it is describe to be dangerous and destructive, which is what the desire to wanderlust is for ferrets and thus contradicting the meaning."
for crying out loud,"for crying out loud, he'd been locked in the trunk by this muscle-headed jackie chan.","He was frustrated and surprised, that he'd been locked in the trunk by this muscle-headed jackie chan.","For crying out loud is an expression of frustration or surprise, which is how he felt after being locked in the trunk.","He was pleased and not at all surprised, that he'd been locked in the trunk by this muscle-headed jackie chan.","For crying out loud is an expression of frustration or surprise, but this sentence describes feeling pleased and not at all surprised"
make ends meet,"You've wasted so many years trying to make ends meet, and look where it's gotten you.","You've spent so many years trying to just barely earn enough money to support yourself, and look where it's gotten you.","To make ends meet means to earn just enough money to support oneself, which is what the person has been trying to do for years.","You've spent so many years trying to earn a surplus of money, and look where it's gotten you.","To make ends meet means to earn just enough money to support oneself, but this context describes earning a surplus of money"
beard the lion in his den,"Liz proceeded to beard the lion in his den, hoping he wouldn't bite this time.","Liz proceeded to confront the risk or danger head on, hoping he wouldn't bite this time.","To beard the lion in his den means to confront risk or danger head on, which is what Liz did by confronting the risk head on.","Liz proceeded to avoid the risk or danger altogether, hoping he wouldn't bite this time.","To beard the lion in his den means to confront risk or danger head on, but this sentence describes Liz avoiding the risk altogether"
watch out,I needed him to watch out for sky.,I needed him to be careful and cautious of sky.,"To watch out means to pay attention, which is what she needed him to do in order to be careful and cautious.",I needed him to pay no attention to sky.,"To watch out means to pay attention, but this context says the opposite and asks him to pay no attention."
good samaritan,And we shouldnt forget how jesus explained that a neighbor was someone like the good samaritan.,"And we shouldn't forget how Jesus explained that a neighbor was someone like the selfless person who helps others, especially those in distress.","A good Samaritan is a person who selflessly helps others, so Jesus is saying that a neighbor is someone who helps others without expecting anything in return.","And we shouldn't forget how Jesus explained that a neighbor was someone like the selfish person who doesn't help others, especially those in distress.","A good Samaritan is a person who selflessly helps others, but in this context Jesus is saying that a neighbor is someone selfish who doesn't help others"
cruising for a bruising,Are you cruising for a bruising?,Are you asking to be punished or harmed?,"To be cruising for a bruising is to be asking for trouble, so the entailment is asking if they are asking to be punished.",Are you not asking to be punished or harmed?,"To be cruising for a bruising is to be asking for trouble, so the contradiction is asking if they are not asking to be punished."
off the wall,"Her favorite random moments began when she asked a question and it was answered with something off the wall like, miss williams, did you know that my brother got sick last night?","Her favorite random moments began when she asked a question and it was answered with something unusual or unexpected like, miss williams, did you know that my brother got sick last night?","To be off the wall is to be strange, wacky or unusual, and in this context the person answering the question did something that was unusual.","Her favorite random moments began when she asked a question and it was answered with something boring or expected like, miss williams, did you know that my brother got sick last night?.","To be off the wall is to be strange, wacky or unusual, but in this context the person answering the question did something that was boring or expected"
no smoke without fire,"There is no smoke without fire, ava. '","There is usually truth behind a rumor, ava.","The idiom ""no smoke without fire"" means that there is usually truth behind a rumor.","There is usually no truth behind a rumor, ava.","The idiom ""no smoke without fire"" means that there is usually truth behind a rumor, but in this context there is no truth behind the rumor."
watch out,watch out!,Be careful!,"To watch out means to pay attention, and in this context the speaker is telling the listener to be careful because danger is imminent.",Relax and don't worry!.,"To watch out means to pay attention, but in this context the speaker is telling the listener not to worry and to relax"
stand the test of time,Our love will stand the test of time.,Our love will remain strong and unchanging.,"To stand the test of time means to be well regarded or to last for a long time, and in this context it is implying that our love will last forever.",Our love will fade away and eventually die.,"To stand the test of time means to be well regarded or to last for a long time, but in this context it is implying that our love will not last forever."
give a darn,The surviving commoners who do not give a darn about it.,The surviving commoners who do not care about it at all,"To give a darn means to care at all about someone or something, and in this sentence the commoners do not care at all.",The surviving commoners who care a great deal about it.,"To give a darn means to care at all about someone or something, but in this sentence the commoners care a great deal."
give someone the slip,Turns out he was under a lot of debt and finally decided to gave them the slip.,Turns out he was under a lot of debt and finally decided to get away from them.,"To give someone the slip means to escape from them, which is what he decided to do.",Turns out he was under a lot of debt and finally decided to  stay close to them and not escape.,"To give someone the slip means to escape from them, but in this sentence he decided to stay close to them instead"
throw a curve,"They mention the two job interviews, and I throw a curve by explaining I'm not ready for employment.","They mentioned the two job interviews, and I confuse them by explaining I'm not ready for employment.","To throw a curve means to do something unexpected that surprises or confuses someone, and in this context the speaker is surprising the others by saying they're not ready for employment.","They mentioned the two job interviews, and I did not confuse them by explaining I'm not ready for employment.","To throw a curve means to do something unexpected that surprises or confuses someone, but in this context the speaker is not doing anything unexpected"
larger than life,"When Kade was a star quarterback, he was larger than life.","When Kade was a star quarterback, he was very impressive and more exciting than the average person.","To be larger than life is to be having an aura of greatness, which is what Kade was as a star quarterback.","When Kade was a star quarterback, he was not very impressive and less exciting than the average person.","To be larger than life is to be having an aura of greatness, but in this context Kade was not very impressive"
ten a penny,"Oh, yes,said hopkinson, in the voice of one who regards skills as ten a penny but is well aware of the rarity value of a good bread exhibit.","Oh, yes, said hopkinson, in the voice of one who considers skills to be very ordinary and commonplace but is well aware of the rarity value of a good bread exhibit.","To be ten a penny means to be very common or ordinary, and in this context Hopkinson is saying that skills are very ordinary.","Oh, yes, said hopkinson, in the voice of one who considers skills to be very rare and valuable but is well aware of the rarity value of a good bread exhibit.","To be ten a penny means to be very common or ordinary, but in this context Hopkinson is saying that skills are very rare and valuable."
and all that jazz,"To ask what's it like to be a warden in d.c., Hunting down the bad guys and bringing them to justice and all that jazz.","To ask what's it like to be a warden in d.c., Hunting down the bad guys and bringing them to justice as well as everything else that is related.","And all that jazz means and everything else, so in this sentence it is referring to everything else that is related to being a warden in D.C.","To ask what's it like to be a warden in d.c., Hunting down the bad guys and bringing them to justice and nothing else that is related.","And all that jazz means and everything else, but in this sentence it is referring to nothing else that is related to being a warden in D.C."
sling your hook,"If it was the other way around, she'd tell you to sling your hook.","If it was the other way around, she'd tell you to go away.","To sling your hook means to go away, so if it was the other way around she would tell him to go away.","If it was the other way around, she'd tell you to stay here.","To sling your hook means to go away, but if it was the other way around she would tell him to stay"
up sticks,It quickly became apparent to pretty much everyone that the only viable option was to up sticks.,It quickly became apparent to pretty much everyone that the only viable option was to leave and move to a new place.,"To up sticks means to relocate from one's current residence, so the context is saying that the only option is to leave and move to a new place.",It quickly became apparent to pretty much everyone that the only viable option was to remain stationary and not move.,"To up sticks means to relocate from one's current residence, but the context is saying that the only option is to stay put and not move."
batten down the hatches,"When the weatherman predicta flurries, you'd better batten down the hatch, esespecially in December.","When the weatherman predicts flurries, you'd better get ready for tough times, especially in December.","To batten down the hatches means to prepare for difficult times, which is what the person in this sentence is doing.","When the weatherman predicts flurries, you'd better not prepare for difficult times especially in December.","To batten down the hatches means to prepare for difficult times, but the person in this sentence is not preparing for tough times"
dead in the water,That opportunity may be dead in the water.,That opportunity may be completely over.,"If something is dead in the water, it is completely over and unable to function or move.",That opportunity may be still possible and not over.,"If something is dead in the water, it is completely over and unable to function or move, but this sentence describes a situation where the opportunity is still possible"
get a rise out of,He was doing this on purpose; trying to get a rise out of her.,He was doing this intentionally; trying to make her angry or irritated by teasing her.,"To get a rise out of someone means to provoke an angry or irritated response, which is what he was trying to do by teasing her.",He was doing this intentionally; trying to calm her down and not make her angry or irritated by entertaining her.,"To get a rise out of someone means to provoke an angry or irritated response, but in this sentence he was trying to do the opposite by entertaining her"
put on hold,She's now had to put on hold.,She's now had to temporarily stop.,"To put on hold means to temporarily stop an activity, which is what she's had to do.",She's now had to permanently continue.,"To put on hold means to temporarily stop an activity, but in this context she's had to permanently continue"
sling your hook,"If you want to gossip, sling your hook and drink somewhere else.","If you want to gossip, leave this place immediately and drink somewhere else.","To sling your hook means to go away, so the speaker is telling the person that if they want to gossip they should leave and go drink somewhere else.","If you want to gossip, stay here and continue drinking instead of going somewhere else.","To sling your hook means to go away, but the context tells the person to stay and continue drinking instead"
tired and emotional,"NoYou must excuse me, I'm a bit tired and emotional just now.",I'm drunk and so I might not be able to think or speak clearly.,"To be tired and emotional is a semi-polite or humorous euphemism for drunkenness, which explains why the person might not be able to think or speak clearly.",I'm completely sober and so I should be able to think and speak clearly.,"To be tired and emotional is a semi-polite or humorous euphemism for drunkenness, but the person is saying that they are completely sober"
meat and potatoes,Can I just ask one thing before we get to the meat and potatoes of our visit?,Can I just ask one thing before we get to the most important and essential part of our visit?,"The meat and potatoes of something refers to the most important and essential part of something, which is what the speaker is asking about.",Can I just ask one thing before we get to the least important and nonessential part of our visit?.,"The meat and potatoes of something refers to the most important and essential part of something, but this context is asking about the least important and nonessential part."
let the genie out of the bottle,He was working with the same corporations that had let the genie out of the bottle on phoebe.,He was working with the same corporations that had created a huge and irreversible impact on phoebe.,To let the genie out of the bottle means to create or unleash something that creates a huge impact and cannot be stopped or reversed and that was what the company he was working for did to Phoebe.,He was working with the same corporations that had prevented or stopped the huge and irreversible impact on phoebe.,"To let the genie out of the bottle means to create or unleash something that creates a huge impact and cannot be stopped or reversed, but in this context the corporations had prevented or stopped the impact on Phoebe."
jam tomorrow,"The few staff who are still with us are growing tired of the jam tomorrow discourse, while having to endure longer hours with less pay.","The few staff who are still with us are growing tired of the empty promises of something better in the future, while having to endure longer hours with less pay.","The idiom jam tomorrow means an empty promise of something that will never arrive, and in this context the staff are growing tired of those kinds of promises.","The few staff who are still with us are growing tired of the potent and convincing promises of something better in the future, while having to endure longer hours with less pay.","The idiom jam tomorrow means an empty promise of something that will never arrive, but in this context the staff are tired of promises that are potent and convincing"
make light work of,"If a great deal of labor would be required to realize such a project, dragon strength could make light work of that.","If a great deal of labor would be required to realize such a project, dragon strength could finish or dispose of very quickly or handily.","To make light work of something is to deal with it quickly or handily, which is what the dragon strength would be able to do.","If a great deal of labor would be required to realize such a project, dragon strength could not finish and would take huge amount of time to dispose","To make light work of something is to deal with it quickly or handily, but in this context the dragon strength would not be able to do that and it would take a huge amount of time"
smart alec,"A year earlier, I probably would have made a smart aleck comment about them finally doing the right thing.","A year earlier, I probably would have made a sarcastic and cutting comment about them finally doing the right thing.","A smart alec is someone who uses sarcasm in an attempt to be witty, and that is what the speaker would have done a year earlier.","A year earlier, I probably would have made a sincere and earnest comment about them finally doing the right thing.","A smart alec is someone who uses sarcasm in an attempt to be witty, but the speaker would have made a sincere comment instead"
mean business,"I bite back, not hard enough to do damage but definitely hard enough to let him know that I mean business.","I bite back, not enough to do damage but definitely enough to let him know that I am serious about what I am saying.","To mean business is to be serious about what one is promising or proposing to do, and the speaker is indicating that they let people know that they are serious by biting back.","I bite back, not enough to do damage but definitely enough to let him know that I am joking and not at all serious about what I am saying.","To mean business is to be serious about what one is promising or proposing to do, but the speaker is indicating that they let people know that are joking by biting back"
change your tune,"Ok, in your next book the gamble you rather change your tune and ray is portrayed as a cross between clauswitz and gandhi.","Ok, in your next book instead of making the gamble you make it so that Ray is portrayed in a more positive light as a cross between Clauswitz and Gandhi. ","To change one's tune typically means to change in a more positive or agreeable way, which is what the sentence describes.","Ok, in your next book instead of making the gamble you  make it so that Ray is portrayed in an even more negative light as a cross between Clauswitz and Gandhi.","To change one's tune typically means to change in a more positive or agreeable way, but in this sentence the change is more negative"
beat the rap,He beat the rap only because donovan hired the best lawyer money can buy.,He evaded conviction and punishment only because donovan hired the best lawyer money can buy.,"To beat the rap means to evade conviction and punishment, which is what happened in this sentence.",He received conviction and punishment only because donovan hired the best lawyer money can buy.,"To beat the rap means to evade conviction and punishment, but in this sentence the person received conviction and punishment"
down the pan,They'd rather buy Yank or Scandinavian…no wonder Scotland's down the pan.,They'd rather buy Yank or Scandinavian…no wonder Scotland's failing miserably.,"To be down the pan means to reach a stage of abject failure or uselessness, and in this sentence it is clear that Scotland is failing.",They'd rather buy Yank or Scandinavian…no wonder Scotland's succeeding greatly.,"To be down the pan means to reach a stage of abject failure or uselessness, but in this sentence it is clear that Scotland is succeeding."
go straight,I get out of bed and go straight into the shower.,I get out of bed and move forward in the direction I am facing into the shower.,"To go straight means to move forward in the direction one is facing, which is what the person in this sentence does by moving into the shower.",I get out of bed and move backward away from the shower.,"To go straight means to move forward in the direction one is facing, but in this sentence the person moves backward"
take heart,"They found the guardian virtually invincible, but I take heart that some of them survived the encounter.","They found the guardian virtually invincible, but I receive courage and comfort from the fact that some of them survived the encounter.","To take heart means to receive courage or comfort from some fact, and in this context the fact that some of them survived the encounter provides courage and comfort.","They found the guardian virtually invincible, but I don't receive any courage or comfort from the fact that some of them survived the encounter.","To take heart means to receive courage or comfort from some fact, but in this context the fact that some of them survived the encounter does not provide any courage or comfort."
brownie point,"I can help you out, earn brownie points with your sister, and make my dad think that I'm a good kid all at once.","I can help you out, earn imaginary points that will make your sister happy, and make my dad think that I'm a good kid all at once.","A brownie point is an imaginary award given to someone who does good deeds, hence earning imaginary points is the same as earning brownie points.","I can help you out, earn real points that will make your sister happy, and make my dad think that I'm a good kid all at once.","A brownie point is an imaginary award given to someone who does good deeds, but this sentence describes receiving real points."
crocodile tears,So was our dear William forced to endure your patented sad face or maybe even a round or two of crocodile tears falling from your eyes?,"So did our dear William have to put up with your insincere and hypocritical display of sadness, or maybe even a round or two of tears falling from your eyes?","Crocodile tears are a false insincere display of sadness, and this sentence is suggesting that the person's sadness is not genuine.","So did our dear William have to put up with your sincere display of sadness, or maybe even a round or two of tears falling from your eyes?","Crocodile tears are a false insincere display of sadness, but this sentence is suggesting that the person's sadness is sincere."
throw the book at,The judge will want to throw the book at you.,The judge will want to charge and convict you with the maximum number of crimes.,"To throw the book at someone means to charge or convict them with as many crimes as possible, so the judge in this context wants to do just that.",The judge will want to charge and convict you with the minimum number of crimes.,"To throw the book at someone means to charge or convict them with as many crimes as possible, but the judge in this context wants to do the opposite."
cut short,He heard her voice twisting with a soft cry of terror before it was cut short.,He heard her voice twisting with a soft cry of terror before it was abruptly stopped.,"To be cut short means to be ended abruptly and unexpectedly, which is what happened to her voice in this sentence.",He heard her voice twisting with a soft cry of terror before it was allowed to continue and wasn't cut off.,"To be cut short means to be ended abruptly and unexpectedly, but in this sentence her voice was not cut off"
lame duck,He spent three years seconded to a lame duck industry.,He spent three years seconded to an industry that was not doing well and needed assistance.,"A lame duck is someone or something that needs help, and in this context the industry is not doing well and needs assistance.",He spent three years seconded to an industry that was thriving and didn't need any help.,"A lame duck is someone or something that needs help, but this context describes an industry that is thriving and doesn't need any help."
cut both ways,The tears cut both ways.,The tears both cheered her up and made her feel worse at the same time.,"To cut both ways means to have good and bad effects at the same time, and in this sentence the tears made the person feel both better and worse.",The tears only had good effects and never made her feel worse.,"To cut both ways means to have good and bad effects at the same time, but in this sentence the tears only had good effects"
make short work of,They settled at the table to make short work of pansy's dinner.,They sat down at the table to quickly finish pansy's dinner.,"To make short work of something is to deal with it quickly or handily, and in this context they are quickly finishing pansy's dinner.",They sat down at the table to not touch or finish pansy's dinner.,"To make short work of something is to deal with it quickly or handily, but in this context they are not touching or finishing pansy's dinner."
when all is said and done,The third is that I intend to keep it when all is said and done.,"When everything is finished and over with, I intend to keep it.",To keep something when all is said and done means to keep it when everything is finished and considered.,"Even though nothing will be settled, I still intend to keep it.","To keep something when all is said and done means to keep it when everything is finished and considered, but this context describes a situation where nothing is settled"
bang to rights,"But on the subject of appearing to own a stolen horse, he had rincewind bang to rights and, also, a foot on his neck.","But on the subject of appearing to own a stolen horse, he was caught red-handed and had no way to defend himself. ","To be bang to rights means to have irrefutable proof of wrongdoing, which in this sentence is the act of appearing to own a stolen horse.","But on the subject of appearing to own a stolen horse, he still managed to come up with a compelling defense.","To be bang to rights means to have irrefutable proof of wrongdoing, but in this sentence the person manages to come up with a defense"
get a grip,"It opened its mouth and screamed, revealing rows of tiny sharp teeth and clawing at jason's muzzle as jason tried to get a grip with his own teeth.","It opened its mouth and screamed, revealing rows of tiny sharp teeth and clawing at jason's muzzle as jason tried to stay calm and in control with his own teeth.","To get a grip means to control one's reactions or emotions, which is what Jason is trying to do by staying calm.","It opened its mouth and screamed, revealing rows of tiny sharp teeth and clawing at jason's muzzle as jason tried to lose control and go crazy with his own teeth.","To get a grip means to control one's reactions or emotions, but Jason is trying to do the opposite by losing control and going crazy."
rule of thumb,rule of thumb is escape while you're on the move.,The best thing to do is escape while you're on the move.,"The rule of thumb is a general principle that is developed through experience, and in this context it is being applied to the situation of escaping while being on move.",The worst thing to do is escape while you're on the move.,"The rule of thumb is a general principle that is developed through experience, but in this context it is being applied to the situation of escaping in a negative way."
to all intents and purposes,"He told her about his marriage which was still extant, but dead to all intents and purposes.","He told her about his marriage which was still legally binding, but was in every sense functionally over.","To all intents and purposes means in every practical or functional sense, and in this context the marriage is practically and functionally over even though it is still legally binding.","He told her about his marriage which was still not legally binding, but was in every sense functionally over.","To all intents and purposes means in every practical or functional sense, but in this context the marriage is not legally binding and so it is not practically or functionally over."
twist the knife,"I don't know if amber is trying to twist the knife, but if she is, it's certainly working.","I am not sure if amber is deliberately trying to worsen the situation, but if she is, it's certainly effective. ","To twist the knife means to make a bad situation worse, and in this context amber is trying to make the situation worse by further malicious actions.","I am not sure if amber is deliberately trying to improve the situation, but if she is, it's certainly effective.","To twist the knife means to make a bad situation worse, but in this context amber is trying to make the situation better"
throw in the towel,I never thought you'd throw in the towel there.,I never thought you'd give up there.,"To throw in the towel means to give up, which is what the speaker thought would happen.",I never thought you'd keep going there.,"To throw in the towel means to give up, but in this context the speaker thought the opposite would happen."
take the plunge,There was the obstacle for him to take the plunge and satisfy his curiosity.,There was the obstacle for him to do something very risky and dangerous and satisfy his curiosity.,"To take the plunge means to commit oneself to a course of action that is very risky or challenging, which is what he would have to do to satisfy his curiosity.",There was the obstacle for him to do something very safe and secure and satisfy his curiosity.,"To take the plunge means to commit oneself to a course of action that is very risky or challenging, but there was obstacle for him to do something very safe and secure and not very risky and dangerous in this context."
