idiom,example,correct_substitution,explanation_correct,incorrect_substitution,explanation_incorrect
fall off the back of a lorry,Did they fall off the back of a lorry?,Were they obtained through dubious or stolen means?,The idiom is a euphemism for goods that are stolen or of questionable origin.,Were they obtained through fully documented legitimate purchase?,"The idiom implies dubious origin, but the sentence describes a lawful purchase."
get on someone's wick,That door was really getting on my wick.,That door was really irritating me badly.,To get on someone's wick means to annoy them persistently.,That door was really pleasing me greatly.,"The idiom means causing irritation, but the sentence describes pleasure."
hack it,I was being bossy last night and just couldn't hack it.,I was being bossy last night and just couldn't cope with it.,To hack it means to manage or endure a demanding situation.,I was being bossy last night and just handled it effortlessly.,"The idiom means coping, but the sentence describes managing with ease, which contradicts 'couldn't'."
hammer and tongs,We've got twenty or thirty girls back there going at it hammer and tongs.,We've got twenty or thirty girls back there going at it with furious energy.,Hammer and tongs means doing something with great vigour or fighting fiercely.,We've got twenty or thirty girls back there going at it with listless calm.,"The idiom means acting with fierce energy, but the sentence describes languor."
hard as nails,He just looks at me hard as nails.,He just looks at me with utter unfeeling toughness.,Hard as nails means being tough and showing no sympathy.,He just looks at me with tender soft-hearted warmth.,"The idiom means being unfeeling, but the sentence describes warmth."
hard cheese,"If I lose it, well, it's hard cheese.","If I lose it, well, that's just bad luck.","Hard cheese means unfortunate luck, said with resignation or little sympathy.","If I lose it, well, that's just marvellous fortune.","Hard cheese means bad luck, but the sentence describes good fortune."
have a ball,"So I said to myself, where shall I have a ball?","So I said to myself, where shall I thoroughly enjoy myself?",To have a ball means to have a very good time.,"So I said to myself, where shall I thoroughly miserable myself?","The idiom means enjoying yourself greatly, but the sentence describes seeking misery."
have a heart,Gemma had not the heart to tell either of them how much they wearied her.,Gemma lacked the willingness to tell either of them how much they wearied her.,Not to have the heart to do something means to be unable to bring yourself to do it.,Gemma had every eagerness to tell either of them how much they wearied her.,"The phrase means being unable to bring yourself to act, but the sentence describes eagerness."
have a screw loose,I swear you have a screw loose.,I swear you are slightly mad.,To have a screw loose means to be somewhat unhinged.,I swear you are entirely rational.,"The idiom means being unhinged, but the sentence describes sound reasoning."
have the hots for,No doubt about it — Shelly had the hots for me.,No doubt about it — Shelly was strongly attracted to me.,To have the hots for someone means to feel strong physical attraction to them.,No doubt about it — Shelly was completely indifferent to me.,"The idiom means strong attraction, but the sentence describes indifference."
hold the line,There's no question that when Jimmy decides enough he will hold a very firm line.,There's no question that when Jimmy decides enough he will refuse to give ground.,To hold the line means to maintain a position under pressure.,There's no question that when Jimmy decides enough he will yield ground immediately.,"The idiom means standing firm, but the sentence describes conceding."
in the family way,That young man has put a woman in the family way.,That young man has made a woman pregnant.,In the family way is a dated euphemism for being pregnant.,That young man has made a woman entirely childless.,"The phrase means becoming pregnant, but the sentence describes the opposite."
in the works,He won't have the books in the works.,He won't have the books already in preparation.,In the works means being prepared or under way.,He won't have the books already completed and finished.,"In the works means still in preparation, but the sentence describes something finished."
kick ass,"But for now, they are only the best kick-ass rock band in the country.","But for now, they are only the most forcefully energetic rock band in the country.",Kick-ass means aggressively impressive and full of force.,"But for now, they are only the most gentle and restrained rock band in the country.","Kick-ass means forcefully energetic, but the sentence describes mildness."
knock it off,Your daddy told you to knock it off now.,Your daddy told you to stop that at once now.,To knock it off means to cease an annoying behaviour.,Your daddy told you to carry on with that now.,"The idiom means stopping, but the sentence encourages continuing."
land of nod,"You'd been asleep, you were not in the land of nod at all.","You'd been asleep, you were not in the state of slumber at all.",The land of nod means the state of being asleep.,"You'd been asleep, you were not wide awake at all.","The phrase means being asleep, but the sentence substitutes wakefulness, contradicting the first clause."
lend a hand,"I thought to myself, perhaps he might lend me a hand?","I thought to myself, perhaps he might give me some help?",To lend a hand means to assist someone.,"I thought to myself, perhaps he might obstruct me entirely?","The idiom means helping, but the sentence describes hindrance."
let's be having you,"Let's be having you! he grumbled, impatiently donning his top hat.","Come along and get moving! he grumbled, impatiently donning his top hat.",Let's be having you is a brisk call for someone to hurry up.,"Take all the time you need! he grumbled, impatiently donning his top hat.","The phrase urges haste, but the sentence invites delay, which the impatience contradicts."
man of straw,Now that the men of straw are men of plastic.,Now that the insubstantial figureheads are men of plastic.,A man of straw means someone without real substance or authority.,Now that the genuinely powerful leaders are men of plastic.,"The idiom means an insubstantial figure, but the sentence describes real power."
never you mind,"Never you mind them, they'll hear what you've got to say sooner or later.","Pay no attention to them, they'll hear what you've got to say sooner or later.",Never you mind means to disregard something as not your concern.,"Watch them very closely, they'll hear what you've got to say sooner or later.","The phrase means disregarding something, but the sentence urges close attention."
on the bounce,"One, two, three on the bounce.","One, two, three in unbroken succession.",On the bounce means occurring consecutively without a break.,"One, two, three at widely scattered intervals.","On the bounce means consecutive, but the sentence describes wide separation."
on the nose,Intensely junipery on the nose with a hint of sweetness.,Intensely junipery in its aroma with a hint of sweetness.,On the nose in tasting means how something smells.,Intensely junipery in its aftertaste with a hint of sweetness.,"On the nose refers to smell, but the sentence describes taste after swallowing."
on the pull,Is she out on the pull tonight?,Is she out looking for a romantic partner tonight?,On the pull means actively seeking a sexual or romantic partner.,Is she out avoiding all company tonight?,"The idiom means seeking a partner, but the sentence describes shunning company."
out of line,"Anybody gets out of line, we just run him clear off the island.","Anybody behaves unacceptably, we just run him clear off the island.",Out of line means behaving in a way that breaches accepted limits.,"Anybody behaves impeccably, we just run him clear off the island.","Out of line means misbehaving, but the sentence punishes good conduct."
par for the course,Yeah well that's par for the course.,Yeah well that's exactly what you would expect.,Par for the course means something is typical and unsurprising.,Yeah well that's utterly astonishing and unheard of.,"The idiom means something typical, but the sentence describes it as extraordinary."
pass the time of day,Passing the time of day about things in general.,Exchanging brief pleasantries about things in general.,To pass the time of day means to make casual small talk.,Conducting intense formal negotiations about things in general.,"The idiom means casual chat, but the sentence describes serious negotiation."
play games,Someone else is playing the same game — following him with a series of cars.,Someone else is engaged in the same manipulative behaviour — following him with a series of cars.,To play games means to behave deviously rather than straightforwardly.,Someone else is engaged in the same open honesty — following him with a series of cars.,"The idiom means acting deviously, but the sentence describes transparency, which covert following contradicts."
pump iron,Coons has started working out daily in a pumping iron gym.,Coons has started working out daily in a weightlifting gym.,To pump iron means to lift weights for exercise.,Coons has started working out daily in a quiet meditation gym.,"The idiom means weightlifting, but the sentence describes a sedentary activity."
seeing is believing,Seeing is believing … the videophone which takes the blind out of date.,Direct sight convinces where description cannot … the videophone which takes the blind out of date.,Seeing is believing means visual evidence is more convincing than any account.,Direct sight convinces no one at all … the videophone which takes the blind out of date.,"The saying holds that seeing convinces, but the sentence denies it, which the videophone contradicts."
split the difference,We decided that we would split the difference between the two figures.,We decided that we would settle midway between the two figures.,To split the difference means to compromise at the midpoint between two positions.,We decided that we would insist on the extreme end of the two figures.,"The idiom means compromising midway, but the sentence describes refusing to move."
sweet nothings,He doesn't come and whisper sweet nothings in our ears.,He doesn't come and whisper affectionate trifles in our ears.,"Sweet nothings means endearments of no real content, murmured affectionately.",He doesn't come and whisper harsh criticisms in our ears.,"Sweet nothings means affectionate murmurings, but the sentence describes rebukes."
talk turkey,If at any stage you want to talk turkey.,If at any stage you want to discuss matters frankly and seriously.,"To talk turkey means to get down to serious, plain-speaking discussion.",If at any stage you want to discuss matters vaguely and evasively.,"The idiom means frank discussion, but the sentence describes evasion."
third time lucky,"Okay, third time lucky.","Okay, this third attempt should be the one that succeeds.",Third time lucky expresses hope that a third attempt will succeed after two failures.,"Okay, this third attempt is certain to fail like the others.","The phrase expresses hope of success, but the sentence predicts another failure."
with a view to,"Two proposals, with a view to reducing the rateable value of the flats.","Two proposals, with the intention of reducing the rateable value of the flats.",With a view to means having a particular purpose in mind.,"Two proposals, with no intention whatever of reducing the rateable value of the flats.","The phrase states a purpose, but the sentence denies having one."
