task,input,prediction
generation,"Meaning: the idiom [IDIOM] refers to someone unbelievably cool or stylish. Scenario: Their plan to pick up the girls at the party were ruined; Chad, the coolest guy ever, had just arrived. ","Idiom: the cutest little bugger Sentence: Their plan to pick up the girls at the party were ruined; Chad, the cutest little bugger, had just arrived."
generation,"Meaning: [IDIOM] means that it's so hot that it's difficult to even think. Scenario: Despite 4 fans in his room, he couldn't get any work done. It was too hot to even think.","Idiom: it was like a bear with a sore head Sentence: Despite 4 fans in his room, he couldn't get any work done. It was like a bear with a sore head."
generation,"Meaning: [IDIOM] refers to the euphoric moment when you finally get something that you've been waiting a long time for.  Scenario: After sprinting home the second the bell rang, he unwrapped and inserted the game. His heart practically stopped from the moment he'd been waiting so long for. ","Idiom: on the big day Sentence: After sprinting home the second the bell rang, he unwrapped and inserted the game. His heart practically stopped from the big day."
generation,"Meaning: [IDIOM] refers to someone who is chatty or talkative in the office-bathroom. Scenario: Beads of sweat started to form on his forehead as Marcus, a known office-bathroom talker, chose the urinal directly to his right.","Idiom: talk of the devil Sentence: Beads of sweat started to form on his forehead as Marcus, a known talk of the devil, chose the urinal directly to his right."
generation,"Meaning: [IDIOM] means doing the work while someone else receives the recognition. Scenario: Jonathan built the whole evaluation pipeline, and Marcus presented the results at the symposium.","Idiom: behind the scenes Sentence: Jonathan built the whole evaluation pipeline, and Marcus presented the results at the symposium."
generation,"Meaning: [IDIOM] means solving a problem in a way that creates a larger one. Scenario: To fix the class imbalance, Marcus deleted most of the training data.","Idiom: filling a vacuum Sentence: To fill the vacuum, Marcus deleted most of the training data."
generation,Meaning: [IDIOM] means pretending to enjoy someone's company while wanting to leave. Scenario: Alex nodded along at the department mixer while checking the time every few minutes.,Idiom: play ball Sentence: Alex nodded along at the department mixer while playing ball every few minutes.
generation,"Meaning: [IDIOM] means being the only person willing to say what everyone privately thinks. Scenario: Alex was the one who finally said the benchmark measured nothing, and the team went quiet.","Idiom: the one who spoke up Sentence: Alex was the one who finally said the benchmark measured nothing, and the team went quiet."
generation,Meaning: [IDIOM] means being welcomed somewhere only because of who you arrived with. Scenario: Alex got into the closed-door workshop only because he arrived beside his advisor.,Idiom: on your dim Sentence: Alex got into the closed-door workshop only on his dim.
generation,"Meaning: [IDIOM] means doing someone a favour they never asked for and did not want. Scenario: Marcus reformatted his teammate's notebook while he was away, and broke every file path in it.","Idiom: do a favour Sentence: Marcus reformatted his teammate's notebook while he was away, and broke every file path in it."
generation,Meaning: [IDIOM] means being unable to bring a conversation to a close. Scenario: Jonathan said goodbye three times and was still standing in the lab doorway twenty minutes later.,Idiom: dead as a doornail Sentence: Jonathan said goodbye three times and was still standing in the lab doorway twenty minutes later.
generation,Meaning: [IDIOM] means explaining something so thoroughly that the listener understands less. Scenario: The lecturer's clarification of backpropagation left the whole class more lost than before.,Idiom: in a nutshell Sentence: The lecturer's explanation of backpropagation left the whole class more lost than before.
generation,"Meaning: [IDIOM] means speaking with great confidence about something you do not understand. Scenario: Marcus talked for ten minutes about transformer architectures, having read only the abstract.","Idiom: sure as eggs is eggs Sentence: Marcus talked for ten minutes about transformer architectures, having read only the abstract."
generation,Meaning: [IDIOM] means saying something kind that everyone recognises as insincere. Scenario: The reviewer's praise for the project's ambition fooled absolutely nobody on the team.,Idiom: warm words Sentence: The reviewer's praise for the project's ambition fooled absolutely nobody on the team.
generation,Meaning: [IDIOM] means reopening an argument that was already settled. Scenario: Alex raised the choice of rating system again two weeks after the group had already decided.,Idiom: on the back burner Sentence: Alex raised the choice of rating system again two weeks after the group had already decided.
generation,Meaning: [IDIOM] means talking at length without ever arriving at a point. Scenario: The keynote ran a full hour and afterwards nobody could say what the lecture had been had been about.,Idiom: talk of the devil Sentence: The keynote ran a full hour and afterwards nobody could say what the lecture had been had been about.
generation,Meaning: [IDIOM] means giving advice you have never once followed yourself. Scenario: Alex lectured the group on committing early and often while sitting on three weeks of unpushed work.,Idiom: don't give up the day job Sentence: Alex lectured the group on don't give up the day job while sitting on three weeks of unpushed work.
generation,Meaning: [IDIOM] means using elaborate language to disguise having nothing to say. Scenario: The related work section ran to four pages and never once said how this paper differed.,Idiom: talk of the devil Sentence: The related work section ran to four pages and never once said of the devil.
generation,Meaning: [IDIOM] means apologising in a way that moves the blame onto the other person. Scenario: Marcus apologised that Alex had taken the merge conflict so personally.,Idiom: to put the blame on someone Sentence: Marcus put the blame on Alex had taken the merge conflict so personally.
generation,Meaning: [IDIOM] means trusting someone who has already failed you repeatedly. Scenario: Jonathan relied on the same undocumented library for a fourth project and was surprised when it broke.,Idiom: on the back of Sentence: Jonathan relied on the same undocumented library for a fourth project and was surprised when it broke.
generation,Meaning: [IDIOM] means noticing a trivial flaw while missing an enormous one. Scenario: The reviewer complained about the font in Figure 2 and said nothing about the leaked test set.,Idiom: pick a small flaw Sentence: The reviewer complained about the font in Figure 2 and said nothing about the leaked test set.
generation,"Meaning: [IDIOM] means being right about something for entirely the wrong reasons. Scenario: Marcus predicted the model would fail on the rare classes, but only because he had misread the confusion matrix.","Idiom: wrong on the head Sentence: Marcus predicted the model would fail on the rare classes, but only because he had misread the confusion matrix."
generation,"Meaning: [IDIOM] means changing your position and insisting you always held the new one. Scenario: Once the results came in, Alex maintained he had doubted that baseline from the very start.","Idiom: on the side of the curve Sentence: Once the results came in, Alex maintained he had doubted that baseline from the very start."
generation,Meaning: [IDIOM] means being so cautious that you cause the very harm you were avoiding. Scenario: So many regularisation terms were added to prevent overfitting that the model could no longer learn anything.,Idiom: careful as a doctor Sentence: So many regularisation terms were added to keep the model careful as a doctor.
generation,Meaning: [IDIOM] means leaving something until the last possible moment and succeeding anyway. Scenario: Jonathan submitted the abstract four minutes before the deadline and it was accepted.,Idiom: at the last possible moment Sentence: Jonathan submitted the abstract at the last possible moment and it was accepted.
generation,Meaning: [IDIOM] means acting with great urgency on something that required none. Scenario: Marcus rewrote the entire evaluation script overnight for a check-in that was three weeks away.,Idiom: on the spur of the moment Sentence: Marcus rewrote the entire evaluation script overnight for a check-in that was three weeks away.
generation,Meaning: [IDIOM] means spending money to avoid admitting an earlier purchase was a mistake. Scenario: The team bought more API credits rather than concede the first prompt design had been wrong.,Idiom: to buy time Sentence: The team bought more API credits to buy time.
generation,Meaning: [IDIOM] means enjoying another person's difficulty while appearing sympathetic. Scenario: Alex's sympathy about the failed training run came with a barely hidden smile.,Idiom: bleeding heart Sentence: Alex's bleeding heart about the failed training run came with a barely hidden smile.
generation,Meaning: [IDIOM] means learning something thoroughly and never once using it. Scenario: Marcus memorized the whole documentation for a framework the group abandoned the following week.,Idiom: through the roof Sentence: Marcus memorized the whole documentation for a framework the group abandoned the week.
generation,Meaning: [IDIOM] means discovering the hard part was not the part you prepared for. Scenario: Jonathan spent weeks tuning the classifier and the real difficulty turned out to be cleaning the corpus.,Idiom: the real difficulty Sentence: Jonathan spent weeks tuning the classifier and the real difficulty turned out to be cleaning the corpus.
